workload_name,cache_size_kb,block_size_bytes,block_size_kb,associativity,replacement_policy,status,hit_rate,miss_rate,hits,misses,total_accesses,runtime_seconds,failure_reason,notes
matrix_mul_ijk,32,64,64,2,LRU,success,0.5011411944418304,0.49885880555816964,8600287,8561118,17161405,0.0,,Source: gem5 stats.txt ; status=success ; Run dir: results/matrix_mul_ijk/gem5_runs_matrix_mul_ijk/b64B_a2 ; hit_key_override=auto ; miss_key_override=auto ; Reused existing stats.txt (resume mode)
matrix_mul_ijk,32,64,64,1,LRU,success,0.49982970508533536,0.5001702949146646,8577780,8583625,17161405,0.0,,Source: gem5 stats.txt ; status=success ; Run dir: results/matrix_mul_ijk/gem5_runs_matrix_mul_ijk/b64B_a1 ; hit_key_override=auto ; miss_key_override=auto ; Reused existing stats.txt (resume mode)
matrix_mul_ijk,32,64,64,4,LRU,success,0.5012270848453259,0.4987729151546741,8601761,8559644,17161405,0.0,,Source: gem5 stats.txt ; status=success ; Run dir: results/matrix_mul_ijk/gem5_runs_matrix_mul_ijk/b64B_a4 ; hit_key_override=auto ; miss_key_override=auto ; Reused existing stats.txt (resume mode)
matrix_mul_ijk,32,64,64,8,LRU,success,0.5012779548061479,0.49872204519385216,8602634,8558771,17161405,0.0,,Source: gem5 stats.txt ; status=success ; Run dir: results/matrix_mul_ijk/gem5_runs_matrix_mul_ijk/b64B_a8 ; hit_key_override=auto ; miss_key_override=auto ; Reused existing stats.txt (resume mode)
matrix_mul_ijk,32,128,128,1,LRU,success,0.49875508386642414,0.5012449161335758,8559334,8602063,17161397,0.0,,Source: gem5 stats.txt ; status=success ; Run dir: results/matrix_mul_ijk/gem5_runs_matrix_mul_ijk/b128B_a1 ; hit_key_override=auto ; miss_key_override=auto ; Reused existing stats.txt (resume mode)
matrix_mul_ijk,32,128,128,2,LRU,success,0.5011903168489139,0.49880968315108615,8601126,8560271,17161397,0.0,,Source: gem5 stats.txt ; status=success ; Run dir: results/matrix_mul_ijk/gem5_runs_matrix_mul_ijk/b128B_a2 ; hit_key_override=auto ; miss_key_override=auto ; Reused existing stats.txt (resume mode)
matrix_mul_ijk,32,128,128,4,LRU,success,0.5012471886758403,0.49875281132415966,8602102,8559295,17161397,0.0,,Source: gem5 stats.txt ; status=success ; Run dir: results/matrix_mul_ijk/gem5_runs_matrix_mul_ijk/b128B_a4 ; hit_key_override=auto ; miss_key_override=auto ; Reused existing stats.txt (resume mode)
matrix_mul_ijk,32,128,128,8,LRU,success,0.501280111403518,0.498719888596482,8602667,8558730,17161397,0.0,,Source: gem5 stats.txt ; status=success ; Run dir: results/matrix_mul_ijk/gem5_runs_matrix_mul_ijk/b128B_a8 ; hit_key_override=auto ; miss_key_override=auto ; Reused existing stats.txt (resume mode)
matrix_mul_ijk,32,256,256,2,LRU,success,0.5002338387856092,0.4997661612143907,8584711,8576685,17161396,0.0,,Source: gem5 stats.txt ; status=success ; Run dir: results/matrix_mul_ijk/gem5_runs_matrix_mul_ijk/b256B_a2 ; hit_key_override=auto ; miss_key_override=auto ; Reused existing stats.txt (resume mode)
matrix_mul_ijk,32,256,256,1,LRU,success,0.495944152795029,0.504055847204971,8511094,8650302,17161396,0.0,,Source: gem5 stats.txt ; status=success ; Run dir: results/matrix_mul_ijk/gem5_runs_matrix_mul_ijk/b256B_a1 ; hit_key_override=auto ; miss_key_override=auto ; Reused existing stats.txt (resume mode)
matrix_mul_ijk,32,256,256,4,LRU,success,0.500279872336726,0.499720127663274,8585501,8575895,17161396,0.0,,Source: gem5 stats.txt ; status=success ; Run dir: results/matrix_mul_ijk/gem5_runs_matrix_mul_ijk/b256B_a4 ; hit_key_override=auto ; miss_key_override=auto ; Reused existing stats.txt (resume mode)
matrix_mul_ijk,32,256,256,8,LRU,success,0.5002905940752139,0.4997094059247861,8585685,8575711,17161396,0.0,,Source: gem5 stats.txt ; status=success ; Run dir: results/matrix_mul_ijk/gem5_runs_matrix_mul_ijk/b256B_a8 ; hit_key_override=auto ; miss_key_override=auto ; Reused existing stats.txt (resume mode)
